tournament_year,team_code,avg_team_age,is_host,strength_pre,matches_group,wins,draws,losses,goals_for,goals_against,clean_sheet,points,goal_diff,avg_goals_for,avg_goals_against,win_ratio,y_ord,y_label,split
2018,URY,28.13117876380085,0,,3,3,0,0,5,0,3,9,5,1.6666666666666667,0.0,1.0,2,QF,test
2022,ARG,28.29505607329016,0,0.3333333333333333,3,2,0,1,5,2,2,6,3,1.6666666666666667,0.6666666666666666,0.6666666666666666,5,Winner,test
2022,AUS,27.619333438635287,0,0.02631578947368421,3,2,0,1,3,4,2,6,-1,1.0,1.3333333333333333,0.6666666666666666,1,R16,test
2022,BEL,28.346022218712157,0,0.5,3,1,1,1,1,2,2,4,-1,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,Group,test
2022,BRA,28.431948612646764,0,1.0,3,2,0,1,3,1,2,6,2,1.0,0.3333333333333333,0.6666666666666666,2,QF,test
2022,CAN,27.518032959511398,0,0.024390243902439025,3,0,0,3,2,7,0,0,-5,0.6666666666666666,2.3333333333333335,0.0,0,Group,test
2022,CHE,27.535197177907648,0,0.06666666666666667,3,2,0,1,4,3,1,6,1,1.3333333333333333,1.0,0.6666666666666666,1,R16,test
2022,CMR,26.805138735323542,0,0.023255813953488372,3,1,1,1,4,4,1,4,0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0,Group,test
2022,CRI,27.682619912599378,0,0.03225806451612903,3,1,0,2,3,11,1,3,-8,1.0,3.6666666666666665,0.3333333333333333,0,Group,test
2022,DEU,27.322487232138158,0,0.09090909090909091,3,1,1,1,6,5,0,4,1,2.0,1.6666666666666667,0.3333333333333333,0,Group,test
2022,DNK,27.681145685252464,0,0.1,3,0,1,2,1,3,1,1,-2,0.3333333333333333,1.0,0.0,0,Group,test
2022,ECU,26.06739325014479,0,0.022727272727272728,3,1,1,1,4,3,1,4,1,1.3333333333333333,1.0,0.3333333333333333,0,Group,test
2022,ENG,26.96319696730374,0,0.2,3,2,1,0,9,2,2,7,7,3.0,0.6666666666666666,0.6666666666666666,2,QF,test
2022,ESP,25.855841625862162,0,0.14285714285714285,3,1,1,1,9,3,1,4,6,3.0,1.0,0.3333333333333333,1,R16,test
2022,FRA,27.10872426683515,0,0.25,3,2,0,1,6,3,0,6,3,2.0,1.0,0.6666666666666666,4,Final,test
2022,GHA,25.295424630126888,0,0.01639344262295082,3,1,0,2,5,7,0,3,-2,1.6666666666666667,2.3333333333333335,0.3333333333333333,0,Group,test
2022,HRV,27.909019112304534,0,0.08333333333333333,3,1,2,0,4,1,2,5,3,1.3333333333333333,0.3333333333333333,0.3333333333333333,3,SF,test
2022,IRN,29.41984941820671,0,0.05,3,1,0,2,4,7,1,3,-3,1.3333333333333333,2.3333333333333335,0.3333333333333333,0,Group,test
2022,JPN,28.241983888801137,0,0.041666666666666664,3,2,0,1,4,3,0,6,1,1.3333333333333333,1.0,0.6666666666666666,1,R16,test
2022,KOR,28.17069446638235,0,0.03571428571428571,3,1,1,1,4,4,1,4,0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1,R16,test
2022,MAR,26.687937661243616,0,0.045454545454545456,3,2,1,0,4,1,2,7,3,1.3333333333333333,0.3333333333333333,0.6666666666666666,3,SF,test
2022,MEX,28.967303743484443,0,0.07692307692307693,3,1,1,1,2,3,1,4,-1,0.6666666666666666,1.0,0.3333333333333333,0,Group,test
2022,NLD,27.156004843889853,0,0.125,3,2,1,0,5,1,2,7,4,1.6666666666666667,0.3333333333333333,0.6666666666666666,2,QF,test
2022,POL,27.60322223977255,0,0.038461538461538464,3,1,1,1,2,2,2,4,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,R16,test
2022,PRT,27.32480387511188,0,0.1111111111111111,3,2,0,1,6,4,1,6,2,2.0,1.3333333333333333,0.6666666666666666,2,QF,test
2022,QAT,27.526141209919444,1,0.02,3,0,0,3,1,7,0,0,-6,0.3333333333333333,2.3333333333333335,0.0,0,Group,test
2022,SAU,27.823092718369928,0,0.0196078431372549,3,1,0,2,3,5,0,3,-2,1.0,1.6666666666666667,0.3333333333333333,0,Group,test
2022,SEN,26.462170273258568,0,0.05555555555555555,3,2,0,1,5,4,0,6,1,1.6666666666666667,1.3333333333333333,0.6666666666666666,1,R16,test
2022,SRB,27.36113304901806,0,0.047619047619047616,3,0,1,2,5,8,0,1,-3,1.6666666666666667,2.6666666666666665,0.0,0,Group,test
2022,TUN,28.537145264044646,0,0.03333333333333333,3,1,1,1,1,1,2,4,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,Group,test
2022,URY,28.30916653503923,0,0.07142857142857142,3,1,1,1,2,2,2,4,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,Group,test
2022,USA,25.585847417469594,0,0.0625,3,1,2,0,2,1,2,5,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,1,R16,test
2022,WAL,26.871900173748223,0,0.05263157894736842,3,0,1,2,1,6,0,1,-5,0.3333333333333333,2.0,0.0,0,Group,test
